Publisher,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Asmik Ace Entertainment,,,,,,,,,,,,,,,,,0.1,,,,0.19,,,,,,0.23,,,,,,,,,,
Asmik Corp,,,,,,,,,,,,,,,0.07,0.17,,,,,,,,,,,,,,,,,,,,,
Aspyr,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,0.03,0.16,0.64,,,,,,,
Astragon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,0.7100000000000001,0.8,,,,,0.8200000000000001
Asylum Entertainment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.52,0.5900000000000001,,,,,
Atari,10.95,19.4,38.83,42.22,,,42.879999999999995,43.739999999999995,,43.88999999999999,,,,,,,,,45.349999999999994,47.64999999999999,52.459999999999994,60.50999999999999,82.1,99.13999999999999,110.68999999999998,119.06999999999998,123.39999999999998,134.76999999999998,143.45999999999998,147.96999999999997,149.39999999999998,151.15999999999997,151.20999999999998,,,,151.23
Athena,,,,,,,,,,,,,,,,,,,,0.02,,0.09000000000000001,,,,,,,,,,,,,,,
Atlus,,,,,,,,,,,,,,,0.45,1.56,1.81,2.2,2.41,2.67,3.02,3.11,3.1999999999999997,3.3899999999999997,3.4799999999999995,,3.5299999999999994,3.6299999999999994,5.129999999999999,6.139999999999999,7.139999999999999,7.699999999999998,10.709999999999997,11.539999999999997,12.129999999999997,12.509999999999998,13.069999999999999
Avalon Interactive,,,0.17,,,,,,,,,,,,,,,,,0.27,,,0.32,0.36,0.48,,,,,,,,,,,,
Avanquest,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.53,0.72,1.62,2.39,2.96,,,,,3.0
Avanquest Software,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,1.6700000000000002,1.6800000000000002,,1.7200000000000002,
Axela,,,,,,,,,,,,,,,,,,,0.25,,,,,,,,,,,,,,,,,,
BAM! Entertainment,,,,,,,,,,,,,,,,,,,,,0.11,1.32,4.2,4.8500000000000005,4.95,,,,,,,,,,,,
BMG Interactive Entertainment,,,,,,,,,,,,,,,,,0.27,0.6000000000000001,1.1800000000000002,,,,,,,,,,,,,,,,,,
BPS,,,,,,,,,,,,0.32,,,0.52,,,,,,,,,,,,,,,,,,,,,,
Bandai Namco Games,,,,,,,,,,,,,,,,,,,,,,,,,,,0.35,,,0.47,1.19,1.2,,,,,
Banpresto,,,,,,,,,,,,0.51,0.67,2.37,2.99,3.75,4.8100000000000005,5.680000000000001,6.380000000000001,7.120000000000001,7.920000000000001,9.370000000000001,10.39,11.700000000000001,12.47,13.790000000000001,14.4,15.99,16.46,16.78,,17.400000000000002,,,,,
Benesse,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.19,0.33,,,,,,,,
Berkeley,,,,,,,,,,,,,,,,,,,,,,0.03,,,,,,,,,,,,,,,
Bethesda Softworks,,,,,,,,,,,,,,,,,,,,,,,1.31,1.51,1.76,1.95,2.05,3.19,14.58,15.870000000000001,24.78,49.870000000000005,54.77,,63.45,79.89,82.14
Big Ben Interactive,,,,,,,,,,,,,,,,,,,,,,,0.09,,0.14,,,,0.16,0.9700000000000001,,0.9800000000000001,,1.0,,,
Big Fish Games,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,0.04,,0.05,,,0.08,,
Bigben Interactive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.84,
Black Bean Games,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,0.12000000000000001,0.71,1.04,2.66,3.3600000000000003,,,,,
Black Label Games,,,,,,,,,,,,,,,,,,,,,,,1.2,,,,,,,,,,,,,,
