Genre,1977,1978,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2020
Action,1.25,1.83,3.08,17.92,24.44,27.3,29.150000000000002,32.67,46.410000000000004,47.53,49.28,53.92,60.31,67.07000000000001,71.11000000000001,72.92000000000002,74.47000000000001,78.04,98.62,126.2,165.64,194.45999999999998,228.73,288.69,377.44,445.4,522.0,608.73,676.23,784.09,929.04,1068.46,1187.3400000000001,1313.64,1435.68,1561.54,1660.56,1731.26,1751.17,1751.18,
Adventure,,,1.3,,,1.7000000000000002,,,,6.08,,,,8.32,20.560000000000002,20.630000000000003,24.370000000000005,25.090000000000003,29.280000000000005,34.24,43.33,50.93,53.91,65.58,76.63,78.77,87.47,96.0,107.47,132.16,157.18,177.88,194.46,210.54000000000002,216.53000000000003,223.14000000000004,229.20000000000005,237.23000000000005,239.04000000000005,,
Fighting,,,0.77,,1.24,,,2.29,,7.71,,,,8.1,23.35,32.1,40.57,55.42,73.48,85.24000000000001,116.9,131.16,151.38,169.5,195.05,218.78,236.13,258.85,281.40000000000003,299.04,334.51,366.83,381.71999999999997,404.4,413.90999999999997,421.11999999999995,437.2699999999999,445.0499999999999,448.9099999999999,,
Misc,,,2.71,,3.58,5.720000000000001,7.170000000000001,,,,,8.450000000000001,,8.530000000000001,13.47,13.770000000000001,16.630000000000003,23.03,33.71,39.4,51.339999999999996,71.99,87.53,103.93,121.89000000000001,145.71,177.03,238.29,306.03999999999996,405.69999999999993,494.18999999999994,571.1299999999999,668.3699999999999,724.8199999999999,747.77,773.42,797.0999999999999,808.79,809.9599999999999,,
Platform,,,,6.93,11.96,18.89,19.580000000000002,62.75,72.14,73.88,101.61,122.27,145.24,152.88,166.29999999999998,184.96999999999997,213.70999999999998,230.39999999999998,258.63,281.51,311.39,332.21,348.27,387.54999999999995,433.91999999999996,476.80999999999995,524.18,547.93,598.2099999999999,633.8,669.51,710.62,742.58,770.69,789.24,814.36,823.25,829.3,831.37,,
Puzzle,,0.44,0.8200000000000001,3.0599999999999996,13.09,14.08,17.22,20.43,,,26.009999999999998,63.76,69.75999999999999,72.99999999999999,77.83999999999999,81.00999999999999,82.53999999999999,85.24999999999999,89.15999999999998,95.04999999999998,101.38999999999999,102.74999999999999,106.56999999999998,114.65999999999998,119.99999999999999,122.54999999999998,131.71999999999997,152.16999999999996,163.06999999999996,187.06999999999996,202.69999999999996,223.00999999999996,234.82999999999996,239.99999999999994,241.75999999999993,242.74999999999994,244.24999999999994,244.94999999999993,,,
Racing,0.27,,0.5900000000000001,1.07,2.6399999999999997,,8.59,,10.55,,12.690000000000001,,18.950000000000003,20.090000000000003,29.130000000000003,29.490000000000002,31.680000000000003,37.77,66.01,97.92,125.82000000000001,163.09,183.08,239.19,271.26,323.48,371.64000000000004,428.06000000000006,462.19000000000005,501.36000000000007,572.1200000000001,606.3300000000002,641.6200000000001,678.2900000000001,692.7500000000001,705.7900000000001,722.4800000000001,730.4000000000001,732.0400000000001,,
Role-Playing,,,,,,,,,2.52,7.17,13.05,15.25,19.77,23.02,29.88,35.47,42.58,56.839999999999996,100.8,122.59,150.68,200.10000000000002,229.13000000000002,251.19000000000003,297.62,328.04,381.99,410.63,468.36,512.88,572.8199999999999,620.8199999999999,691.3399999999999,745.16,793.3,838.27,884.13,920.5699999999999,927.3299999999999,927.3699999999999,
Shooter,0.98,3.51,10.579999999999998,20.619999999999997,24.409999999999997,24.889999999999997,55.989999999999995,56.989999999999995,60.879999999999995,61.589999999999996,62.099999999999994,63.3,,65.3,65.59,68.67,76.97,81.12,88.03,110.2,120.0,132.25,139.06,163.83,212.85000000000002,240.37000000000003,288.05,330.03000000000003,370.85,441.91,501.42,571.3100000000001,651.6500000000001,751.3000000000001,824.1700000000001,886.97,952.97,1019.12,1037.34,,
Simulation,,,,0.45,,,,0.48,,,0.51,,1.65,3.79,5.93,6.12,8.85,13.03,24.36,34.01,41.12,52.559999999999995,55.94,75.88,86.69,107.9,118.75,168.02,190.04000000000002,239.03000000000003,285.85,319.89000000000004,342.36,358.13,371.68,380.35,385.90000000000003,391.52000000000004,391.91,,392.20000000000005
Sports,,0.15,1.15,1.94,2.99,6.19,12.370000000000001,14.330000000000002,19.900000000000002,23.62,27.22,32.94,35.05,37.459999999999994,40.41,43.589999999999996,51.98,59.959999999999994,77.41,107.63,150.88,181.17,222.35999999999999,274.37,342.11,407.52,471.66999999999996,532.05,669.91,768.29,865.28,1003.8,1098.1599999999999,1155.6299999999999,1186.58,1228.1299999999999,1274.79,1316.33,1330.9299999999998,,
Strategy,,,,,,,,,,,,,,0.94,1.2999999999999998,2.11,5.67,12.18,17.79,25.5,38.97,57.43,65.93,73.48,79.04,87.03,94.22,99.59,103.86,113.39,125.71000000000001,138.48000000000002,152.56000000000003,162.10000000000002,165.43000000000004,171.76000000000005,172.75000000000006,174.58000000000007,175.12000000000006,,
